City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
169,Kalocsa,46.5264,18.9858,45.05,71,100,16.96,HU,1644201326
170,Moree,-29.4667,149.85,82.42,32,40,8.05,AU,1644201326
171,Teahupoo,-17.8333,-149.2667,80.53,77,64,20.83,PF,1644201326
172,Nouadhibou,20.931,-17.0347,64.99,79,96,12.17,MR,1644201327
173,Malaya Vishera,58.8454,32.2222,29.61,96,100,9.01,RU,1644201327
174,Arrondissement du Havre,49.5833,0.3333,46.17,71,0,20.71,FR,1644201327
175,Necochea,-38.5473,-58.7368,60.04,72,66,10.27,AR,1644201201
176,Salinópolis,-0.6136,-47.3561,77.67,88,100,7.16,BR,1644201328
177,Port Moresby,-9.4431,147.1797,87.22,70,40,11.5,PG,1644201328
178,Marovoay,-16.1,46.6333,77.14,95,93,4.03,MG,1644201329
179,Devonport,-41.1667,146.35,73.09,55,0,8.77,AU,1644201329
180,Kaitangata,-46.2817,169.8464,59.94,79,52,8.32,NZ,1644201298
181,Pemba,-12.974,40.5178,76.1,86,19,6.85,MZ,1644201330
182,Rahimatpur,17.6,74.2,69.44,53,50,4.16,IN,1644201330
183,Whitley Bay,55.0397,-1.4471,37.31,79,24,13.8,GB,1644201085
184,Upernavik,72.7868,-56.1549,-14.49,100,100,8.41,GL,1644201331
185,Les Cayes,18.2,-73.75,73.09,76,2,2.01,HT,1644201331
186,Kloulklubed,7.0419,134.2556,84.7,79,43,22.39,PW,1644201331
187,Hailar,49.2,119.7,8.55,92,100,8.34,CN,1644201245
188,High Prairie,55.4334,-116.4858,40.3,68,100,9.28,CA,1644201332
189,Clyde River,70.4692,-68.5914,-34.37,67,0,8.05,CA,1644201301
190,Skagen,57.7209,10.5839,41.09,65,17,27.94,DK,1644201332
191,Grand Baie,-20.0182,57.5802,77.47,86,100,1.99,MU,1644201333
192,College,64.8569,-147.8028,-4.92,77,100,0.0,US,1644201333
193,Kuandian,40.7286,124.7847,22.35,50,2,2.53,CN,1644201333
194,Senneterre,48.3835,-77.2328,12.42,94,100,8.39,CA,1644201334
195,Mumford,5.2618,-0.759,79.09,86,94,6.93,GH,1644201334
196,Bāndarban,22.1965,92.2262,60.51,50,4,2.28,BD,1644201334
197,Bambous Virieux,-20.3428,57.7575,77.25,94,75,3.44,MU,1644201335
198,Saskylakh,71.9167,114.0833,-27.18,100,93,4.09,RU,1644201335
199,Nantucket,41.2835,-70.0995,32.14,69,0,11.5,US,1644201335
200,Balkanabat,39.5108,54.3671,37.36,61,72,4.85,TM,1644201336
201,Khatanga,71.9667,102.5,-17.07,98,99,9.6,RU,1644201336
202,Faya,18.3851,42.4509,48.72,84,9,3.42,SA,1644201337
203,Douglas,41.3,-96.167,33.15,55,0,1.01,US,1644201337
204,Port Elizabeth,-33.918,25.5701,64.69,94,0,3.44,ZA,1644201338
205,Huanren,41.2647,125.3667,22.17,53,3,1.16,CN,1644201338
206,Vestmanna,62.1564,-7.1664,31.12,59,99,11.5,FO,1644201338
207,San Policarpo,12.1791,125.5072,80.91,79,52,17.47,PH,1644201339
208,Isangel,-19.55,169.2667,82.51,94,100,13.8,VU,1644201339
209,La Palma,33.8464,-118.0467,74.17,38,0,0.0,US,1644201139
210,Sukumo,32.9333,132.7333,48.88,44,94,8.41,JP,1644201339
211,Vanino,49.0869,140.2543,13.6,60,47,6.89,RU,1644201340
212,San Patricio,28.017,-97.5169,59.09,83,100,9.93,US,1644201326
213,Dingle,10.9995,122.6711,83.75,63,48,15.41,PH,1644201340
214,Kruisfontein,-34.0033,24.7314,69.69,65,0,4.56,ZA,1644201341
215,Kailua,21.4022,-157.7394,80.58,73,20,13.8,US,1644201341
216,Leningradskiy,69.3833,178.4167,-26.57,100,63,2.82,RU,1644201342
217,Pedras de Fogo,-7.4019,-35.1164,77.63,77,0,3.6,BR,1644201342
218,Alihe,50.5667,123.7167,11.17,61,73,2.8,CN,1644201342
219,Kulhudhuffushi,6.6221,73.07,80.91,65,8,9.13,MV,1644201343
220,Puri,19.8,85.85,61.32,55,94,4.14,IN,1644201343
